STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TotalPrecipitation,MaxTemp,MinTemp
COOP:310301,ASHEVILLE NC US,682.1,35.5954,-82.5568,201001,413,59,10
COOP:310301,ASHEVILLE NC US,682.1,35.5954,-82.5568,201002,328,61,17
COOP:310301,ASHEVILLE NC US,682.1,35.5954,-82.5568,201003,286,73,25
COOP:310301,ASHEVILLE NC US,682.1,35.5954,-82.5568,201004,149,89,37
COOP:310301,ASHEVILLE NC US,682.1,35.5954,-82.5568,201005,265,85,40
COOP:310301,ASHEVILLE NC US,682.1,35.5954,-82.5568,201006,272,95,57
COOP:310301,ASHEVILLE NC US,682.1,35.5954,-82.5568,201007,229,95,62
COOP:310301,ASHEVILLE NC US,682.1,35.5954,-82.5568,201008,294,95,60
COOP:310301,ASHEVILLE NC US,682.1,35.59528,-82.55667,201009,325,90,48
COOP:310301,ASHEVILLE NC US,682.1,35.59528,-82.55667,201010,99,82,33
COOP:310301,ASHEVILLE NC US,682.1,35.59528,-82.55667,201011,348,72,23
COOP:310301,ASHEVILLE NC US,682.1,35.59528,-82.55667,201012,156,55,8
